Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,GG,AS,SS,MVP,Position
54,Alex Bregman,30,4.1,145,634,581,79,151,30,2,26,75,3,1,44,86,0.26,0.315,0.453,0.768,116,0.334,117,263,13,5,0,4,1,1,0,0,,5.0
55,Andres Gimenez,25,4.0,152,633,583,64,147,22,1,9,63,30,5,26,97,0.252,0.298,0.34,0.638,83,0.294,81,198,11,15,3,6,1,1,0,0,,4.0
56,Josh Naylor,27,1.5,152,633,563,84,137,27,0,31,108,6,2,58,105,0.243,0.32,0.456,0.776,119,0.336,117,257,17,7,0,4,7,0,1,0,,3.0
57,Bryce Harper,31,4.8,145,631,550,85,157,42,0,30,87,7,4,76,138,0.285,0.373,0.525,0.898,148,0.381,148,289,18,2,1,2,11,0,1,1,6.0,3.0
58,Cal Raleigh,27,4.7,153,628,546,73,120,16,0,34,100,6,1,70,176,0.22,0.312,0.436,0.748,119,0.324,117,238,7,6,0,6,4,1,0,0,12.0,2.0
59,Maikel Garcia,24,1.2,157,626,575,84,133,27,5,7,58,37,2,42,103,0.231,0.281,0.332,0.614,73,0.287,69,191,7,0,4,5,0,0,0,0,,5.0
60,Bryan De La Cruz,27,-1.4,149,622,584,61,136,25,0,21,68,5,2,29,170,0.233,0.271,0.384,0.654,78,0.29,75,224,10,3,0,5,1,0,0,0,,7.0
61,Yandy Diaz,32,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,0.281,0.341,0.414,0.755,116,0.336,119,233,12,4,0,4,0,0,0,0,,3.0
62,Alex Verdugo,28,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,0.233,0.291,0.356,0.647,83,0.288,81,199,14,1,2,10,0,0,0,0,,7.0
63,Jazz Chisholm Jr.,26,2.7,147,621,562,74,144,21,4,24,73,40,10,53,152,0.256,0.324,0.436,0.76,108,0.339,106,245,6,4,0,2,5,0,0,0,,8.0
64,Yainer Diaz,25,3.3,148,619,585,70,175,29,3,16,84,2,0,24,107,0.299,0.325,0.441,0.766,116,0.339,120,258,22,2,0,8,1,0,0,0,,2.0
65,Brice Turang,24,4.7,155,619,559,72,142,24,4,7,57,50,6,50,105,0.254,0.316,0.349,0.665,86,0.313,85,195,8,2,5,3,1,1,0,0,,4.0
66,Andrew Vaughn,26,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,0.246,0.297,0.402,0.699,99,0.305,96,229,13,6,0,5,0,0,0,0,,3.0
67,Brent Rooker,29,5.6,145,614,546,82,160,26,2,39,112,11,3,59,177,0.293,0.365,0.562,0.927,165,0.399,166,307,5,5,0,4,4,0,0,1,10.0,7.0
68,George Springer,34,1.1,145,614,545,74,120,19,3,19,56,16,1,60,115,0.22,0.303,0.371,0.674,91,0.312,97,202,16,6,0,2,0,0,0,0,,9.0
69,Julio Rodriguez,23,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,0.273,0.325,0.409,0.734,116,0.334,121,232,10,6,0,2,1,0,0,0,,8.0
70,Christopher Morel,25,-0.6,152,611,535,56,105,11,3,21,60,8,7,61,159,0.196,0.288,0.346,0.634,79,0.282,80,185,15,10,0,5,3,0,0,0,,5.0
71,Nolan Schanuel,22,1.3,147,607,519,62,130,19,0,13,54,10,1,68,103,0.25,0.343,0.362,0.706,100,0.321,103,188,14,9,3,7,0,0,0,0,,3.0
72,Alec Bohm,27,3.0,143,606,554,62,155,44,2,15,97,5,2,40,86,0.28,0.332,0.448,0.779,116,0.34,117,248,18,6,0,6,2,0,1,0,,5.0
73,Brenton Doyle,26,4.0,149,603,542,82,141,24,4,23,72,30,5,46,153,0.26,0.317,0.446,0.764,104,0.338,102,242,13,3,4,8,1,1,0,0,,8.0
74,Josh Bell,31,-0.6,145,603,538,62,134,23,2,19,71,0,1,51,120,0.249,0.319,0.405,0.725,98,0.32,98,218,22,6,0,3,1,0,0,0,,3.0
75,CJ Abrams,23,3.4,138,602,541,79,133,29,6,20,65,31,12,40,128,0.246,0.314,0.433,0.747,110,0.324,108,234,4,16,1,4,3,0,1,0,,6.0
76,Orlando Arcia,29,0.5,157,602,551,50,120,24,0,17,46,2,0,41,128,0.218,0.271,0.354,0.625,72,0.278,70,195,16,2,1,7,1,0,0,0,,6.0
77,Zach Neto,23,5.1,155,602,542,70,135,34,1,23,77,30,10,39,140,0.249,0.318,0.443,0.761,112,0.334,112,240,14,16,4,1,1,0,0,0,,6.0
